Title,District,Party,didate Name,,Total Votes,Election
Senate,2,(D),RUDERMAN,Russell E.,10487,2012
Senate,2,(R),SMITH,Daryl Lee,3154,2012
Senate,3,(D),GREEN,Josh,11351,2012
Senate,3,(R),LAFRANCE,Jeff R.,3192,2012
Senate,4,(D),SOLOMON,Malama,9828,2012
Senate,4,(G),GREENWELL,Kelly,4934,2012
Senate,6,(D),BAKER,Roz,9808,2012
Senate,6,(R),MULVIHILL,Bart,3717,2012
Senate,8,(D),KOUCHI,Ronald D.,17887,2012
Senate,8,(R),GEORGI,William F.,5138,2012
Senate,9,(R),SLOM,Sam,14934,2012
Senate,9,(D),LAJALA,Kurt,9888,2012
Senate,10,(D),IHARA,Les,13703,2012
Senate,10,(R),MARSHALL,Eric B.,3934,2012
Senate,11,(D),TANIGUCHI,Brian T.,15639,2012
Senate,11,(R),FENTON,Larry,3806,2012
Senate,12,(D),GALUTERIA,Brickwood M.,9134,2012
Senate,12,(R),LARSON,Liz,4963,2012
Senate,16,(D),IGE,David Y.,14156,2012
Senate,16,(R),GRECO,Mike,3705,2012
Senate,18,(D),KIDANI,Michelle,14518,2012
Senate,18,(R),HERRERA,Rojo,5573,2012
Senate,20,(D),GABBARD,Mike,9384,2012
Senate,20,(R),CAPELOUTO,Dean Kalani,3665,2012
Senate,21,(D),SHIMABUKURO,Maile S.L.,7932,2012
Senate,21,(R),JOHNSON,Dickyj,2405,2012
Senate,22,(D),DELA CRUZ,Donovan,10393,2012
Senate,22,(R),AKI,Charles (Bo),3740,2012
Senate,23,(D),HEE,Clayton,6965,2012
Senate,23,(R),MEYER,Colleen,6070,2012
Senate,25,(D),THIELEN,Laura,13703,2012
Senate,25,(R),HEMMINGS,Fred,9333,2012
House,3,(D),ONISHI,Richard H.K.,4937,2012
House,3,(R),HAPAI,Marlene (Nachbar),2832,2012
House,3,(L),FOGEL,Frederick F.,860,2012
House,5,(D),COFFMAN,Denny,5464,2012
House,5,(R),BATEMAN,Dave,2631,2012
House,6,(D),LOWEN,Nicole,5336,2012
House,6,(R),EBERT,Roy,2487,2012
House,10,(D),McKELVEY,Angus L.,4255,2012
House,10,(R),MARTEN,Chayne M.,1961,2012
House,11,(D),ING,Kaniela,4814,2012
House,11,(R),FONTAINE,George R.,2772,2012
House,12,(D),YAMASHITA,Kyle T.,7457,2012
House,12,(R),KALAMA,Ekolu,2081,2012
House,13,(D),CARROLL,Mele,5787,2012
House,13,(R),RUSSELL,Simon S.,2130,2012
House,16,(D),MORIKAWA,Daynette (Dee),6049,2012
House,16,(R),TRUJILLO,Troy,1581,2012
House,18,(D),HASHEM,Mark Jun,7311,2012
House,18,(R),LOW,Jeremy,4705,2012
House,19,(D),KOBAYASHI,Bertrand (Bert),6749,2012
House,19,(R),YOUNG,Darrell,3052,2012
House,20,(D),SAY,Calvin K.Y.,5704,2012
House,20,(G),BONK,Keiko,3143,2012
House,20,(R),ALLEN,Julia E.,1179,2012
House,22,(D),BROWER,Tom,4317,2012
House,22,(R),HESTER,Marcus,1886,2012
House,23,(D),CHOY,Isaac W.,7502,2012
House,23,(R),THOMSON,Zach,1750,2012
House,24,(D),BELATTI,Della Au,5367,2012
House,24,(R),SABEY,Isaiah (Kauka),2334,2012
House,26,(D),SAIKI,Scott K.,4163,2012
House,26,(R),AU,Tiffany H.Y.,2678,2012
House,27,(D),OHNO,Takashi,4843,2012
House,27,(R),CHING,Corinne Wei Lan,3573,2012
House,28,(D),MIZUNO,John M.,4444,2012
House,28,(R),KAAPU,Carole Kauhiwai,1298,2012
House,31,(R),JOHANSON,Aaron Ling,4017,2012
House,31,(D),SHARSH,Lei,2143,2012
House,32,(D),ICHIYAMA,Linda E.,5707,2012
House,32,(R),SHIMIZU,Garner Musashi,2375,2012
House,33,(D),TAKAI,K. Mark,7277,2012
House,33,(R),KONG,Sam,3556,2012
House,36,(R),FUKUMOTO,Beth,5334,2012
House,36,(D),LEE,Marilyn B.,4838,2012
House,37,(D),YAMANE,Ryan I.,8660,2012
House,37,(R),SVRCINA,Emil,2163,2012
House,39,(D),CULLEN,Ty J.K.,5282,2012
House,39,(R),WONG,Carl J.,1697,2012
House,40,(R),McDERMOTT,Bob,3249,2012
House,40,(D),MANABAT,Chris (Kalani),3107,2012
House,41,(D),CABANILLA ARAKAWA,Rida T.R.,4330,2012
House,41,(R),REEDER,Adam G.,2730,2012
House,42,(D),HAR,Sharon E.,6251,2012
House,42,(R),CAPELOUTO,Marissa D.,2257,2012
House,43,(D),AWANA,Karen Leinani,4029,2012
House,43,(R),BUTLER,Glenn V.,1484,2012
House,44,(D),JORDAN,Jo,3728,2012
House,44,(R),HIGA,Creighton Pono,1329,2012
House,45,(R),CHEAPE,Lauren Kealohilani,2626,2012
House,45,(D),BRADSHAW,Jake,2540,2012
House,46,(D),OSHIRO,Marcus R.,4755,2012
House,46,(R),MURPHY,Christopher,1348,2012
House,47,(R),FALE,Richard,4381,2012
House,47,(D),BEIRNE,D. Ululani,3163,2012
House,51,(D),LEE,Chris,8550,2012
House,51,(R),VINCENT,Henry,1992,2012
Senate,2,(D),KOKUBUN,Russell S.,13432,2010
Senate,2,(R),HALE,Michael W.,4381,2010
Senate,4,(D),TSUTSUI,Shan S.,10931,2010
Senate,4,(R),SEIBERT,Eric,3113,2010
Senate,7,(D),KOUCHI,Ronald D.,14438,2010
Senate,7,(R),HAMMAN,David R.,6245,2010
Senate,8,(R),SLOM,Sam,12318,2010
Senate,8,(D),PRICE,Larry,7711,2010
Senate,9,(D),IHARA,Les S.,11058,2010
Senate,9,(R),SHORBA,Lisa Leialoha,4461,2010
Senate,10,(D),TANIGUCHI,Brian T.,10398,2010
Senate,10,(R),MARSHALL,Eric B.,3439,2010
Senate,13,(D),CHUN OAKLAND,Suzanne N.J.,10324,2010
Senate,13,(R),FRANKLIN,Judy C.,3359,2010
Senate,14,(D),KIM,Donna Mercado,8481,2010
Senate,14,(R),DUDEK,Peter,1852,2010
Senate,15,(D),WAKAI,Glenn,7753,2010
Senate,15,(R),PASCUA,Ben,3764,2010
Senate,19,(D),GABBARD,Mike,10636,2010
Senate,19,(R),BONAR,Aaron Toa,3667,2010
Senate,20,(D),ESPERO,Will,7863,2010
Senate,20,(R),MONTES,Anel A. (Tito),4814,2010
Senate,22,(D),DELA CRUZ,Donovan,8738,2010
Senate,22,(R),AKI,Charles (Bo),3576,2010
Senate,24,(D),TOKUDA,Jill N.,10010,2010
Senate,24,(R),BEAN,Tracy Nakano,7140,2010
Senate,25,(D),RYAN,Pohai,8777,2010
Senate,25,(R),ENOS,Virginia,7061,2010
House,1,(D),NAKASHIMA,Mark M.,5116,2010
House,1,(R),D'ALMEIDA,Eric Paul,1519,2010
House,2,(D),CHANG,Jerry Leslie,5149,2010
House,2,(R),VANNATTA,Sharon (DeMello),1509,2010
House,3,(D),TSUJI,Clifton K. (Clift),6917,2010
House,3,(R),CORTEZ-CAMERO,Tania Kehau,1346,2010
House,4,(D),HANOHANO,Faye P.,4438,2010
House,4,(R),HAPAI,Marlene (Nachbar),3332,2010
House,5,(D),HERKES,Robert (Bob),5267,2010
House,5,(L),FOGEL,Fred,1699,2010
House,6,(D),COFFMAN,Denny,3538,2010
House,6,(R),LEAU,Rebecca N. (Becky),3281,2010
House,7,(D),EVANS,Cindy,4361,2010
House,7,(R),HENDERSON,Scott W. (Hendo),2860,2010
