House,Precinct,,,,,Senate,,,,,County
1,7,Puueo Multi-Culture Ctr,145 Wainaku St ,Hall,II,1,1,C,19.733592,-155.093266,Hawaii County
2,5,Waiakea High Sch,155 W Kawili St,Caf,II,1,2,DOE,19.697931,-155.075993,Hawaii County
1,10,Kaumana Elem Sch,1710 Kaumana Dr ,Caf,II,1,2,DOE,19.686035,-155.13476,Hawaii County
2,4,Waiakea Elem Sch,180 W Puainako St,Caf,II,1,3,DOE,19.694181,-155.07791,Hawaii County
2,3,Keaukaha Elem Sch,240 Desha Ave,Caf,II,1,3,DOE,19.728832,-155.045142,Hawaii County
1,8,Ernest B DeSilva Elem Sch,278 Ainako Ave ,Caf,II,1,2,DOE,19.710603,-155.114611,Hawaii County
2,2,Edith Kanakaole Tennis Stad,350 Kalanikoa St,Stad,II,1,3,C,19.717734,-155.065792,Hawaii County
3,1,AJA Memorial Hall,361 Haihai St ,Hall,II,1,3,P,19.67353,-155.077177,Hawaii County
2,1,Hilo High Sch,556 Waianuenue Ave,Caf,II,1,2,DOE,19.720728,-155.096368,Hawaii County
4,3,Pahoa Comm Ctr,15-3022 Kauhale St,Comm Ctr,II,2,5,C,19.494864,-154.950706,Hawaii County
4,2,Keonepoko Elem Sch,15-890 Kahakai Blvd,Caf,II,2,4,DOE,19.526579,-154.928887,Hawaii County
3,4,Keaau High Sch,16-725 Keaau-Pahoa Rd ,Library,II,2,5,DOE,19.613648,-155.031625,Hawaii County
3,5,Mountain View Elem Sch,18-1235 Volcano Rd ,Caf,II,2,5,DOE,19.554184,-155.10206,Hawaii County
3,6,Cooper Ctr,19-4030 Wright Rd ,Comm Ctr,II,2,6,C,19.434279,-155.229862,Hawaii County
3,7,Kau High Sch,96-3150 Pikake St ,Caf,II,2,6,DOE,19.202088,-155.477544,Hawaii County
4,1,Hawaiian Paradise Comm Ctr,Makuu Dr,Comm Ctr,II,2,4,P,19.572427,-154.957753,Hawaii County
3,2,,,,II,2,3,,,,Hawaii County
3,3,,,,II,2,4,,,,Hawaii County
6,4,Kealakehe High Sch,74-5000 Puohulihuli St,Caf,II,3,8,DOE,19.668347,-155.998063,Hawaii County
6,3,Kekuaokalani Gym at Kailua Park,75-5500 Kuakini Hwy (Near Old Ko,Gym,II,3,8,C,19.641925,-156.005073,Hawaii County
6,2,Kahakai Elem Sch,76-147 Royal Poinciana Dr,Caf,II,3,7,DOE,19.610777,-155.976577,Hawaii County
6,1,Holualoa Elem Sch,76-5957 Mamalahoa Hwy,Caf,II,3,7,DOE,19.617159,-155.9482,Hawaii County
5,8,Kona Vistas Rec Ctr,76-6350 Pualani St,Rec Ctr,II,3,7,P,19.611943,-155.963461,Hawaii County
5,7,Konawaena High Sch,81-1043 Konawaena Sch Rd,Caf,II,3,7,DOE,19.509462,-155.915169,Hawaii County
5,6,Konawaena Elem Sch,81-901 Onouli Rd,Caf,II,3,6,DOE,19.505938,-155.924092,Hawaii County
5,5,St Benedict Catholic Church,84-5140 Painted Church Rd,Lanai,II,3,6,P,19.434926,-155.887897,Hawaii County
5,4,Hookena Elem Sch,86-4355 Mamalahoa Hwy,Caf,II,3,6,DOE,19.386793,-155.878684,Hawaii County
5,2,Ocean View Comm Ctr,92-8924 Leilani Cir,Comm Ctr,II,3,6,P,19.097509,-155.78729,Hawaii County
5,1,Naalehu Elem Sch,95-5545 Mamalahoa Hwy,Caf,II,3,6,DOE,19.061196,-155.57949,Hawaii County
5,3,Milolii Halau,Milolii,Pavilion,II,3,6,P,19.18652,-155.906006,Hawaii County
1,6,Kalanianaole Elem/Inter Sch,27-330 Mamalahoa Hwy ,Caf,II,4,1,DOE,19.789364,-155.093531,Hawaii County
1,5,Kulaimano Comm Ctr,28-2892 Alia St ,Hall,II,4,1,C,19.83473,-155.106997,Hawaii County
1,4,Honohina Hongwanji,32-896 Mamalahoa Hwy ,Soc Hall,II,4,1,P,19.935839,-155.165947,Hawaii County
1,3,Papaaloa Gym,35-1994 Government Main Rd ,Gym,II,4,1,C,19.911018,-155.142595,Hawaii County
1,2,Paauilo Elem Sch,43-1497 Old Main Rd ,Caf,II,4,1,DOE,20.041616,-155.375031,Hawaii County
1,1,Honokaa High Sch,45-527 Pakalana St ,Caf,II,4,1,DOE,20.075723,-155.464134,Hawaii County
7,3,Kohala High and Elem Sch,54-3611 Akoni Pule Hwy,Caf,II,4,9,DOE,20.23065,-155.799794,Hawaii County
7,5,Waimea New Hope Church,65-1078 Mamalahoa Hwy,Gym,II,4,1,P,20.024665,-155.662059,Hawaii County
7,4,Waimea Civic Ctr,67-5189 Kamamalu St,Conf Rm,II,4,9,S,20.023102,-155.662523,Hawaii County
7,2,Waikoloa Elem Sch,68-1730 Hooko St,Caf,II,4,9,DOE,19.956293,-155.793705,Hawaii County
6,5,Kona Palisades Comm Ctr,73-1073 Ka Imi Nani Dr.,Comm Ctr,II,4,8,P,19.637785,-155.975113,Hawaii County
7,1,West Hawaii Civic Ctr,74-5044 Ane Keohokalole Hwy,Bldg G,II,4,8,C,19.640555,-155.995555,Hawaii County
1,9,,,,II,4,2,,,,Hawaii County
8,2,Baldwin High Sch,1650 Kaahumanu Ave,Caf,II ,5,A/L ,DOE,20.890093,-156.491707,Maui County
8,3,Baldwin High Sch,1650 Kaahumanu Ave,Auditorium,II ,5,A/L ,DOE,20.890093,-156.492707,Maui County
